"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Pizza Making Flow","15","0","","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Star Shape × Strawberry Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Heart Shape × Cheese Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Heart Shape + Tomato Sauce","0"
"0","Bobo's Kitchen","1","Pizza Making Flow","0","0","Star Shape + Tomato Sauce","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Star Shape × Rainbow Sauce × All Toppings","0"
"0","Bobo's Kitchen","1","Pizza Making Flow","0","0","Bear Shape + Tomato Sauce","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Star Shape × Tomato Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Heart Shape × Chocolate Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Topping Coverage","1","0","All Toppings at Once","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Heart Shape × Strawberry Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Bear Shape × Cheese Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Bear Shape × Tomato Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Bear Shape × Chocolate Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Heart Shape × Rainbow Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Bear Shape × Rainbow Sauce × All Toppings","0"
"0","Bobo's Kitchen","0","Pizza Making Flow","1","0","Star Shape × Chocolate Sauce × All Toppings","0"
